i,area,seg,vect,wall_width,smbl_class,att,norm,att+norm,total
51,1079444,2.690084699999943,1.5880529999999453,11.295362999999952,0.2917160000000649,0.03506479999998646,0.0024622000000817934,0.037527000000068256,15.902743699999974
52,1191300,3.6397119999999177,1.989631700000018,7.872696100000098,0.08456109999997352,0.010860800000045856,0.0032000999999581836,0.01406090000000404,13.600661800000012
53,714051,1.9686076999998932,1.4155647000000044,7.317606799999908,0.4281769000000395,0.028111699999954,0.002382600000032653,0.03049429999998665,11.160450399999831
54,1421280,2.880307700000003,3.3687772000000678,16.539825199999996,0.40611809999995785,0.056295600000112245,0.002561799999966752,0.058857400000078997,23.253885600000103
55,442395,1.1075605999999425,0.48285329999998794,2.496118999999908,0.24737519999985125,0.01278350000006867,0.0018046000000140339,0.014588100000082704,4.348496199999772
56,307881,0.8892736000000241,0.4417791999999281,1.371237299999848,0.19915470000000823,0.008434300000089934,0.0016931999998632818,0.010127499999953216,2.9115722999997615
57,393624,0.8274143000001004,0.32888660000003256,1.9969026000001122,0.11597979999987729,0.0036479999998846324,0.0015025000000150612,0.005150499999899694,3.274333800000022
58,827034,1.6919256000001042,0.7335937000000285,5.9697722000000795,0.1657357999999931,0.006757799999832059,0.002054000000043743,0.008811799999875802,8.569839100000081
59,518295,1.2265634999998838,0.4178074999999808,2.944068600000037,0.371870299999955,0.014768399999866233,0.002714199999900302,0.017482599999766535,4.977792499999623
60,185265,0.6437426999998479,0.2272609999999986,0.6304912000000513,0.29002569999988737,0.004818399999976464,0.00142720000008012,0.006245600000056584,1.7977661999998418
61,560898,1.0124140999998872,3.0489506999999776,7.641016099999888,0.558399799999961,0.07671170000003258,0.002611399999977948,0.07932310000001053,12.340103799999724
62,271765,0.6617605999999796,0.5035380000001624,1.1228547000000617,0.212729999999965,0.007033600000113438,0.0015440999998190819,0.00857769999993252,2.509461000000101
63,506880,0.9850005000000692,0.220661199999995,1.5705316000000948,0.137952900000073,0.0034769000001233508,0.0012778999998772633,0.004754800000000614,2.9189010000002327
64,392905,0.8709258000001228,0.5791489999999158,2.8364844000000176,0.292696400000068,0.010844800000086252,0.0017006999999011896,0.012545499999987442,4.5918011000001115
65,325260,0.7874113000000307,0.3163518999999724,1.6981591999999637,0.14679560000013225,0.006075100000089151,0.0026003999998920335,0.008675499999981184,2.95739350000008
