i,area,seg,vect,wall_width,smbl_class,att,norm,att+norm,total
41,616468,1.0789269999995668,0.28369279999969876,1.9456913999993048,0.12071070000001782,0.004867499999818392,0.0011994000005870475,0.00606690000040544,3.4350887999989936
42,442856,0.9963514000000941,0.8598351999999068,3.9285643000002892,0.43658589999995456,0.039900699999634526,0.0021614999996018014,0.04206219999923633,6.263398999999481
43,1080400,1.9008805999992546,5.059181699999499,18.950919900000372,0.561791600000106,0.09057470000061585,0.004113100000722625,0.09468780000133847,26.56746160000057
44,667888,1.1731229999995776,0.8774555999998483,4.586228299999675,0.32187549999980547,0.013885899999877438,0.0018877000002248678,0.015773600000102306,6.974455999999009
45,1052580,1.840007400000104,2.7091135999999096,12.10385799999949,0.39026819999980944,0.03526179999971646,0.0024590999992142315,0.03772089999893069,17.080968099998245
46,498600,0.8769906999996238,0.7528793999999834,3.4193282999995063,0.27554240000063146,0.010225600000012491,0.001978699999199307,0.012204299999211798,5.336945099998957
47,831402,1.4603000000006432,1.7389553000002707,8.58883859999969,0.28626229999917996,0.018522599999414524,0.002379899999141344,0.020902499998555868,12.09525869999834
48,317020,0.5661767000001419,0.8640480999993088,2.2276754000004075,0.27623289999974077,0.021638199999870267,0.0022810000000390573,0.023919199999909324,3.9580522999995083
49,522170,0.9302656999998362,1.1893535999997766,4.652971599999546,0.3348076000002038,0.02307609999934357,0.0022589000000152737,0.025334999999358843,7.1327334999987215
50,542681,0.9682419000000664,0.6610767999991367,3.7727849000002607,0.2823636000002807,0.01009760000033566,0.0024249000007330324,0.012522500001068693,5.696989700000813
51,1079444,1.8510619999997289,1.719710600000326,10.897527899999659,0.36455279999972845,0.03345849999914208,0.0025761000006241375,0.036034599999766215,14.868887899999208
52,1191300,2.160931599999458,2.5846001999998407,6.977631599999768,0.20721030000004248,0.010816699999850243,0.0020123999993302277,0.012829099999180471,11.94320279999829
53,714051,1.2715536000005159,1.4817960000000312,8.035559099999773,0.25018660000023374,0.026674800000364485,0.002482599999893864,0.02915740000025835,11.068252700000812
54,1421280,2.6777499999998327,4.316702499999337,15.865024400000038,0.4252469999992172,0.031349199999567645,0.002782399999887275,0.03413159999945492,23.31885549999788
